time 	 LH 	 RH
7691	 7691	 7691 
002.810	79.1307	20.8693	
002.873	79.4213	20.5787	
002.933	79.6881	20.3119	
002.997	79.9539	20.0461	
003.061	80.2481	19.7519	
003.121	80.5451	19.4549	
003.185	80.8951	19.1049	
003.245	81.1827	18.8173	
003.309	81.4319	18.5681	
003.373	81.6960	18.3040	
003.433	82.0037	17.9963	
003.498	82.2345	17.7655	
003.561	82.3901	17.6099	
003.621	82.6036	17.3964	
003.685	82.7923	17.2077	
003.745	82.8878	17.1122	
003.809	83.0029	16.9971	
003.874	83.1166	16.8834	
003.934	83.3035	16.6965	
003.997	83.4706	16.5294	
004.061	83.5284	16.4716	
004.121	83.5187	16.4813	
004.186	83.5175	16.4825	
004.245	83.5198	16.4802	
004.309	83.5267	16.4733	
004.373	83.5056	16.4944	
004.433	83.2556	16.7444	
004.497	83.0469	16.9531	
004.561	82.8468	17.1532	
004.621	82.4786	17.5214	
004.685	82.2133	17.7867	
004.745	82.0757	17.9243	
004.809	81.9460	18.0540	
004.873	81.8880	18.1120	
004.933	81.8037	18.1963	
004.997	81.6929	18.3071	
005.061	81.6326	18.3674	
005.121	81.6838	18.3162	
005.185	81.7986	18.2014	
005.245	81.9543	18.0457	
005.309	82.1591	17.8409	
005.373	82.3841	17.6159	
005.433	82.6510	17.3490	
005.497	82.9440	17.0560	
005.561	83.2105	16.7895	
005.622	83.4641	16.5359	
005.685	83.6941	16.3059	
005.745	83.7994	16.2006	
005.809	83.9204	16.0796	
005.873	83.9890	16.0110	
005.933	84.0637	15.9363	
005.997	84.1212	15.8788	
006.061	84.1860	15.8140	
006.121	84.2112	15.7888	
006.185	84.2496	15.7504	
006.245	84.2719	15.7281	
006.309	84.2035	15.7965	
006.373	83.9688	16.0312	
006.433	83.7909	16.2091	
006.497	83.6964	16.3036	
006.561	83.6646	16.3354	
006.621	83.6573	16.3427	
006.685	83.7433	16.2567	
006.745	83.8970	16.1030	
006.809	84.0132	15.9868	
006.873	84.0675	15.9325	
006.933	84.1487	15.8513	
006.997	84.2809	15.7191	
